business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
100807,Estas Manos Coffee Roasters,425 Mission St,San Francisco,CA,94105,,,,,100807_20190603,2019-06-03T00:00:00.000,,New Construction,,,,,,,,,
63084,New Lien Hing,400 Clement St,San Francisco,CA,94118,37.783008,-122.463562,"{'type': 'Point', 'coordinates': [-122.463562, 37.783008]}",,63084_20190827,2019-08-27T00:00:00.000,84,Routine - Unscheduled,63084_20190827_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,11,6,2,11,54,11
93647,Borsch Mobile,103 Horne Ave,San Francisco,CA,94188,,,,+14158467080,93647_20190822,2019-08-22T00:00:00.000,93,Routine - Unscheduled,93647_20190822_103172,Mobile food facility with unapproved operating conditions,High Risk,,,,,,
86381,The Saratoga,1000 Larkin St,San Francisco,CA,94109,,,,,86381_20190822,2019-08-22T00:00:00.000,100,Routine - Unscheduled,,,,,,,,,
92141,Alfaro Truck,332 Valencia St,San Francisco,CA,64110,,,,+14155949273,92141_20180927,2018-09-27T00:00:00.000,85,Routine - Unscheduled,92141_20180927_103157,Food safety certificate or food handler card not available,Low Risk,,,,,,
90895,Trademark/Copyright,1123 Folsom St.,San Francisco,CA,94103,,,,,90895_20190708,2019-07-08T00:00:00.000,87,Routine - Unscheduled,90895_20190708_103109,Unclean or unsanitary food contact surfaces,High Risk,,,,,,
75973,BB Tea Station LLC,1314 Noriega St,San Francisco,CA,94122,,,,+14155290077,75973_20180619,2018-06-19T00:00:00.000,92,Routine - Unscheduled,75973_20180619_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,,
1341,SPIKE'S COFFEES & TEAS,4117 19th St,San Francisco,CA,94114,37.759253,-122.43503,"{'type': 'Point', 'coordinates': [-122.43503, 37.759253]}",+14155625573,1341_20190827,2019-08-27T00:00:00.000,100,Routine - Unscheduled,,,,3,4,5,2,28862,5
98113,HING WAH FENG,4401 Balboa St,San Francisco,CA,94121,,,,,98113_20190128,2019-01-28T00:00:00.000,72,Routine - Unscheduled,98113_20190128_103154,Unclean or degraded floors walls or ceilings,Low Risk,,,,,,
70281,Shai Lai Seafood Restaurant,6253 GEARY Blvd,San Francisco,CA,94121,,,,+14155617349,70281_20190812,2019-08-12T00:00:00.000,67,Routine - Unscheduled,70281_20190812_103139,Improper food storage,Low Risk,,,,,,
80493,Mythic Pizza,551 Haight St,San Francisco,CA,94117,,,,+14155861999,80493_20181004,2018-10-04T00:00:00.000,,Complaint,,,,,,,,,
91984,Cha Cha Cha,1801 Haight St,San Francisco,CA,94117,,,,,91984_20180206,2018-02-06T00:00:00.000,,New Ownership - Followup,91984_20180206_103109,Unclean or unsanitary food contact surfaces,High Risk,,,,,,
92141,Alfaro Truck,332 Valencia St,San Francisco,CA,64110,,,,+14155949273,92141_20180927,2018-09-27T00:00:00.000,85,Routine - Unscheduled,92141_20180927_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,,,,,,
84590,Chaat Corner,320 3rd St,San Francisco,CA,94107,,,,,84590_20181001,2018-10-01T00:00:00.000,54,Routine - Unscheduled,84590_20181001_103102,Unclean hands or improper use of gloves,High Risk,,,,,,
86659,Cumaica Coffee Co. #1,2800 California St #102,San Francisco,CA,94115,,,,,86659_20181031,2018-10-31T00:00:00.000,90,Routine - Unscheduled,86659_20181031_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,,
